name,type,source
Valoneic acid dilactone,compound,food_db
Sanguisorbic acid dilactone,compound,food_db
Galloyl glucose,compound,food_db
Lambertianin C,compound,food_db
5-p-Coumaroylquinic acid,compound,food_db
4-p-Coumaroylquinic acid,compound,food_db
Feruloyl glucose,compound,food_db
p-Coumaroylquinic acid,compound,food_db
"2,5-di-S-Glutathionyl caftaric acid",compound,food_db
Caffeic acid ethyl ester,compound,food_db
2-S-Glutathionyl caftaric acid,compound,food_db
5-Feruloylquinic acid,compound,food_db
4-Feruloylquinic acid,compound,food_db
3-Feruloylquinic acid,compound,food_db
5-Sinapoylquinic acid,compound,food_db
4-Sinapoylquinic acid,compound,food_db
3-Sinapoylquinic acid,compound,food_db
Ferulic acid 4-glucoside,compound,food_db
p-Coumaroyl tartaric acid glucosidic ester,compound,food_db
p-Coumaric acid ethyl ester,compound,food_db
Hydroxycaffeic acid,compound,food_db
5-5'-Dehydrodiferulic acid,compound,food_db
5-8'-Dehydrodiferulic acid,compound,food_db
"1,2-Diferuloylgentiobiose",compound,food_db
"1-Sinapoyl-2,2'-diferuloylgentiobiose",compound,food_db
"1,2,2'-Triferuloylgentiobiose",compound,food_db
8-4'-Dehydrodiferulic acid,compound,food_db
5-8'-Benzofuran dehydrodiferulic acid,compound,food_db
Cis-5-Caffeoylquinic acid,compound,food_db
"3,4-Diferuloylquinic acid",compound,food_db
"3,5-Diferuloylquinic acid",compound,food_db
Dicaffeoylquinic acid,compound,food_db
Avenanthramide 2p,compound,food_db
Avenanthramide 2c,compound,food_db
Avenanthramide 2f,compound,food_db
p-Coumaroyl glycolic acid,compound,food_db
Caffeoyl aspartic acid,compound,food_db
p-Coumaroyl aspartic acid,compound,food_db
Avenanthramide K,compound,food_db
24-Methylcholestanol ferulate,compound,food_db
24-Methylcholesterol ferulate,compound,food_db
24-Methyllathosterol ferulate,compound,food_db
Schottenol 3-ferulate,compound,food_db
24-Methylenecholestanol ferulate,compound,food_db
"3,4-Dihydroxyphenylacetic acid",compound,food_db
Homoveratric acid,compound,food_db
Methoxyphenylacetic acid,compound,food_db
delta-Viniferin,compound,food_db
7-Hydroxymatairesinol,compound,food_db
Isohydroxymatairesinol,compound,food_db
Secoisolariciresinol-sesquilignan,compound,food_db
Cyclolariciresinol,compound,food_db
7-Oxomatairesinol,compound,food_db
Todolactol A,compound,food_db
Conidendrin,compound,food_db
7-Hydroxysecoisolariciresinol,compound,food_db
Lariciresinol-sesquilignan,compound,food_db
Episesaminol,compound,food_db
4-Vinylsyringol,compound,food_db
Mellein,compound,food_db
2-Methoxy-5-prop-1-enylphenol,compound,food_db
"1,4-Naphtoquinone",compound,food_db
"5,5',6,6'-Tetrahydroxy-3,3'-biindolyl",compound,food_db
Hydroxytyrosol acetate,compound,food_db
p-HPEA-AC,compound,food_db
"3,4-DHPEA-EA",compound,food_db
p-HPEA-EDA,compound,food_db
p-HPEA-EA,compound,food_db
Oleuropein-aglycone,compound,food_db
Ligstroside-aglycone,compound,food_db
5-Pentacosenylresorcinol,compound,food_db
5-Tricosenylresorcinol,compound,food_db
3-Methylcatechol,compound,food_db
4-Ethylphenol,compound,food_db
3'-Methoxyacetophenone,compound,food_db
Nuatigenin,compound,food_db
Estradiol,compound,food_db
Dioscin,compound,food_db
Collettiside I,compound,food_db
Yamogenin,compound,food_db
Ophiopogonin C',compound,food_db
Erythritol,compound,food_db
Canescein,compound,food_db
Prenyl acetate,compound,food_db
Phytic acid,compound,food_db
Asparagoside B,compound,food_db
6-Hydroxykaempferol,compound,food_db
"(3beta,5alpha)-Ergosta-7,23-dien-3-ol",compound,food_db
L-Malic acid caffeate,compound,food_db
1-Methoxyphaseollidin,compound,food_db
"(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol",compound,food_db
Mucronine D,compound,food_db
Nummularine A,compound,food_db
Oxoglaucine,compound,food_db
beta1-Tomatidine,compound,food_db
Blepharin,compound,food_db
Murrayenol,compound,food_db
Geranyl apiosyl-glucoside,compound,food_db
Geranyl rhamnosyl-glucoside,compound,food_db
Geranyl 3-methylbutanoate,compound,food_db
Geranyl hexanoate,compound,food_db
Neryl glucoside,compound,food_db
Neryl arabinofuranosyl-glucoside,compound,food_db
Galactosyl 4-hydroxyproline,compound,food_db
4-Hydroxyproline galactoside,compound,food_db
N-Phenylacetylaspartic acid,compound,food_db
Betavulgaroside I,compound,food_db
5Z-Octenyl acetate,compound,food_db
"(R)-1,3-Octanediol",compound,food_db
"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol",compound,food_db
Salsolinol,compound,food_db
(S)-Salsolinol,compound,food_db
Moupinamide,compound,food_db
N-Methyltyramine,compound,food_db
O-Methylcorypalline,compound,food_db
alpha-Solanigrine,compound,food_db
gamma2-Solamarine,compound,food_db
2'-Hydroxydaidzein,compound,food_db
Solacauline,compound,food_db
"(E,E)-Trichostachine",compound,food_db
L-Tyrosine ethyl ester hydrochloride,compound,food_db
L-Tyrosine,compound,food_db
Papaverine,compound,food_db
Piperine,compound,food_db
Chavicine,compound,food_db
Isochavicine,compound,food_db
Isopiperine,compound,food_db
Theophylline,compound,food_db
Theobromine,compound,food_db
Chlorogenoquinone,compound,food_db
L-Saccharopine,compound,food_db
L-Stachydrine,compound,food_db
Isodesmosine,compound,food_db
L-3-Aminodihydro-2(3H)-furanone,compound,food_db
L-Lysine,compound,food_db
L-Lysine hydrochloride,compound,food_db
N6-Acetyl-L-lysine,compound,food_db
"1-(3,4-Dimethoxyphenyl)ethanone",compound,food_db
gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine,compound,food_db
Homoglutathione,compound,food_db
N-gamma-L-Glutamyl-L-isoleucine,compound,food_db
N-gamma-L-Glutamyl-L-valine,compound,food_db
Glycine,compound,food_db
Ochratoxin A,compound,food_db
L-2-Amino-3-(oxalylamino)propanoic acid,compound,food_db
"(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside",compound,food_db
Neobetanin,compound,food_db
Amaranthin,compound,food_db
Betanidin,compound,food_db
Betanin,compound,food_db
2-Acetyl-3-ethylpyrazine,compound,food_db
Prebetanin,compound,food_db
Isobetanidin,compound,food_db
L-2-Amino-4-(aminooxy)butanoic acid,compound,food_db
L-Canavanine,compound,food_db
"NG,NG-Dimethyl-L-arginine",compound,food_db
"NG,N'G-Dimethyl-L-arginine",compound,food_db
Cycloalliin,compound,food_db
Syringic acid,compound,food_db
Thaumatin,compound,food_db
Desmosine,compound,food_db
"(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol",compound,food_db
L-Histidine trimethylbetaine,compound,food_db
Homoserine,compound,food_db
L-Homoserine,compound,food_db
O-Acetylhomoserine,compound,food_db
L-4-Hydroxyglutamine,compound,food_db
L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,compound,food_db
